source,term_id,term_name,fdr,significant,intersection_size,query_size,term_size,background_size,genes,gene_symbols
GO:BP,GO:0030832,regulation of actin filament length,0.27294949655327505,False,3,86,16,1708,ENSG00000163171 ENSG00000151422 ENSG00000079691,CDC42EP3 FER CARMIL1
GO:BP,GO:0048341,paraxial mesoderm formation,0.27294949655327505,False,1,86,1,1708,ENSG00000131558,EXOC4
GO:BP,GO:0048340,paraxial mesoderm morphogenesis,0.27294949655327505,False,1,86,1,1708,ENSG00000131558,EXOC4
GO:BP,GO:2000813,negative regulation of barbed-end actin filament capping,0.27294949655327505,False,1,86,1,1708,ENSG00000079691,CARMIL1
GO:BP,GO:0140056,organelle localization by membrane tethering,0.27294949655327505,False,2,86,5,1708,ENSG00000131558 ENSG00000176406,EXOC4 RIMS2
GO:BP,GO:0140029,exocytic process,0.27294949655327505,False,3,86,9,1708,ENSG00000149927 ENSG00000131558 ENSG00000176406,DOC2A EXOC4 RIMS2
GO:BP,GO:0120179,adherens junction disassembly,0.27294949655327505,False,1,86,1,1708,ENSG00000151422,FER
GO:BP,GO:0120039,plasma membrane bounded cell projection morphogenesis,0.27294949655327505,False,6,86,48,1708,ENSG00000242498 ENSG00000023902 ENSG00000142599 ENSG00000010810 ENSG00000135298 ENSG00000176406,ARPIN PLEKHO1 RERE FYN ADGRB3 RIMS2
GO:BP,GO:0150147,cell-cell junction disassembly,0.27294949655327505,False,1,86,1,1708,ENSG00000151422,FER
GO:BP,GO:0046125,pyrimidine deoxyribonucleoside metabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0140352,export from cell,0.27294949655327505,False,8,86,68,1708,ENSG00000120451 ENSG00000149927 ENSG00000103056 ENSG00000166573 ENSG00000053438 ENSG00000150630 ENSG00000131558 ENSG00000176406,SNX19 DOC2A SMPD3 GALR1 NNAT VEGFC EXOC4 RIMS2
GO:BP,GO:2000848,positive regulation of corticosteroid hormone secretion,0.27294949655327505,False,1,86,1,1708,ENSG00000166573,GALR1
GO:BP,GO:2000393,negative regulation of lamellipodium morphogenesis,0.27294949655327505,False,1,86,1,1708,ENSG00000242498,ARPIN
GO:BP,GO:2000812,regulation of barbed-end actin filament capping,0.27294949655327505,False,1,86,1,1708,ENSG00000079691,CARMIL1
GO:BP,GO:0140112,extracellular vesicle biogenesis,0.27294949655327505,False,1,86,1,1708,ENSG00000103056,SMPD3
GO:BP,GO:0099558,maintenance of synapse structure,0.27294949655327505,False,2,86,6,1708,ENSG00000135298 ENSG00000176406,ADGRB3 RIMS2
GO:BP,GO:0099587,inorganic ion import across plasma membrane,0.27294949655327505,False,2,86,7,1708,ENSG00000162753 ENSG00000010810,SLC9C2 FYN
GO:BP,GO:0140253,cell-cell fusion,0.27294949655327505,False,2,86,7,1708,ENSG00000023902 ENSG00000135298,PLEKHO1 ADGRB3
GO:BP,GO:0036075,replacement ossification,0.27294949655327505,False,1,86,1,1708,ENSG00000103056,SMPD3
GO:BP,GO:0035989,tendon development,0.27294949655327505,False,1,86,1,1708,ENSG00000130635,COL5A1
GO:BP,GO:2000846,regulation of corticosteroid hormone secretion,0.27294949655327505,False,1,86,1,1708,ENSG00000166573,GALR1
GO:BP,GO:1990182,exosomal secretion,0.27294949655327505,False,1,86,1,1708,ENSG00000103056,SMPD3
GO:BP,GO:2000147,positive regulation of cell motility,0.27294949655327505,False,6,86,45,1708,ENSG00000103811 ENSG00000150630 ENSG00000151422 ENSG00000113070 ENSG00000079691 ENSG00000213654,CTSH VEGFC FER HBEGF CARMIL1 GPSM3
GO:BP,GO:0038095,Fc-epsilon receptor signaling pathway,0.27294949655327505,False,1,86,1,1708,ENSG00000151422,FER
GO:BP,GO:0038093,Fc receptor signaling pathway,0.27294949655327505,False,2,86,5,1708,ENSG00000151422 ENSG00000010810,FER FYN
GO:BP,GO:0040012,regulation of locomotion,0.27294949655327505,False,8,86,77,1708,ENSG00000103811 ENSG00000242498 ENSG00000103056 ENSG00000150630 ENSG00000151422 ENSG00000113070 ENSG00000079691 ENSG00000213654,CTSH ARPIN SMPD3 VEGFC FER HBEGF CARMIL1 GPSM3
GO:BP,GO:0032970,regulation of actin filament-based process,0.27294949655327505,False,5,86,38,1708,ENSG00000242498 ENSG00000163171 ENSG00000151422 ENSG00000079691 ENSG00000158106,ARPIN CDC42EP3 FER CARMIL1 RHPN1
GO:BP,GO:0032026,response to magnesium ion,0.27294949655327505,False,1,86,1,1708,ENSG00000103056,SMPD3
GO:BP,GO:0035264,multicellular organism growth,0.27294949655327505,False,3,86,13,1708,ENSG00000103056 ENSG00000196182 ENSG00000007402,SMPD3 STK40 CACNA2D2
GO:BP,GO:0035929,steroid hormone secretion,0.27294949655327505,False,1,86,1,1708,ENSG00000166573,GALR1
GO:BP,GO:0035933,glucocorticoid secretion,0.27294949655327505,False,1,86,1,1708,ENSG00000166573,GALR1
GO:BP,GO:0035930,corticosteroid hormone secretion,0.27294949655327505,False,1,86,1,1708,ENSG00000166573,GALR1
GO:BP,GO:0035592,establishment of protein localization to extracellular region,0.27294949655327505,False,4,86,28,1708,ENSG00000120451 ENSG00000053438 ENSG00000150630 ENSG00000176406,SNX19 NNAT VEGFC RIMS2
GO:BP,GO:0035426,extracellular matrix-cell signaling,0.27294949655327505,False,1,86,1,1708,ENSG00000151422,FER
GO:BP,GO:0040038,polar body extrusion after meiotic divisions,0.27294949655327505,False,1,86,1,1708,ENSG00000204991,SPIRE2
